sales_order_#,date,day,month,year,customer_age,age_group,customer_gender,country,state,product_category,sub_category,product_description,order_quantity,unit_cost,unit_price,profit,cost,revenue
261695.0,12/1/2021,1.0,December,2021.0,39.0,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4.0,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261696.0,12/1/2021,1.0,December,2021.0,44.0,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261697.0,12/2/2021,2.0,December,2021.0,37.0,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",2.0,$420.00,$769.00,$698.00,$840.00,"$1,538.00"
261698.0,12/2/2021,2.0,December,2021.0,31.0,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1.0,$420.00,$769.00,$349.00,$420.00,$769.00
261699.0,12/3/2021,3.0,December,2021.0,37.0,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2.0,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
261700.0,12/3/2021,3.0,December,2021.0,24.0,Youth (<25),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1.0,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261701.0,12/3/2021,3.0,December,2021.0,37.0,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1.0,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261702.0,12/4/2021,4.0,December,2021.0,31.0,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",4.0,$420.00,$769.00,"$1,396.00","$1,680.00","$3,076.00"
261703.0,12/5/2021,5.0,December,2021.0,39.0,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4.0,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261704.0,12/5/2021,5.0,December,2021.0,42.0,Adults (35-64),M,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Black, 38",4.0,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261705.0,12/5/2021,5.0,December,2021.0,35.0,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261706.0,12/5/2021,5.0,December,2021.0,37.0,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1.0,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261707.0,12/6/2021,6.0,December,2021.0,23.0,Youth (<25),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",3.0,$420.00,$769.00,"$1,047.00","$1,260.00","$2,307.00"
261708.0,12/6/2021,6.0,December,2021.0,27.0,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1.0,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261709.0,12/6/2021,6.0,December,2021.0,36.0,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1.0,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261710.0,12/6/2021,6.0,December,2021.0,47.0,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261711.0,12/7/2021,7.0,December,2021.0,30.0,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",4.0,$420.00,$769.00,"$1,396.00","$1,680.00","$3,076.00"
261712.0,12/7/2021,7.0,December,2021.0,38.0,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2.0,"$1,266.00","$2,320.00","$2,108.00","$2,532.00","$4,640.00"
261713.0,12/8/2021,8.0,December,2021.0,19.0,Youth (<25),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",4.0,$308.00,$565.00,"$1,028.00","$1,232.00","$2,260.00"
261714.0,12/8/2021,8.0,December,2021.0,30.0,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",4.0,"$1,266.00","$2,320.00","$4,216.00","$5,064.00","$9,280.00"
261715.0,12/8/2021,8.0,December,2021.0,39.0,Adults (35-64),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2.0,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
261716.0,12/8/2021,8.0,December,2021.0,35.0,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 42",1.0,$295.00,$540.00,$245.00,$295.00,$540.00
261717.0,12/9/2021,9.0,December,2021.0,33.0,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 38",2.0,"$1,898.00","$3,375.00","$2,954.00","$3,796.00","$6,750.00"
261718.0,12/9/2021,9.0,December,2021.0,41.0,Adults (35-64),F,Germany,Hamburg,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261719.0,12/10/2021,10.0,December,2021.0,34.0,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2.0,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
261720.0,12/10/2021,10.0,December,2021.0,40.0,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2.0,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
261721.0,12/10/2021,10.0,December,2021.0,26.0,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1.0,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261722.0,12/10/2021,10.0,December,2021.0,34.0,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 40",1.0,$295.00,$540.00,$245.00,$295.00,$540.00
261723.0,12/10/2021,10.0,December,2021.0,34.0,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1.0,"$1,912.00","$3,400.00","$1,488.00","$1,912.00","$3,400.00"
261724.0,12/10/2021,10.0,December,2021.0,38.0,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1.0,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261725.0,12/11/2021,11.0,December,2021.0,24.0,Youth (<25),F,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 38",3.0,"$1,252.00","$2,295.00","$3,129.00","$3,756.00","$6,885.00"
261726.0,12/11/2021,11.0,December,2021.0,41.0,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",2.0,$420.00,$769.00,$698.00,$840.00,"$1,538.00"
261727.0,12/11/2021,11.0,December,2021.0,27.0,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1.0,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261728.0,12/11/2021,11.0,December,2021.0,37.0,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1.0,$420.00,$769.00,$349.00,$420.00,$769.00
261729.0,12/11/2021,11.0,December,2021.0,38.0,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261730.0,12/12/2021,12.0,December,2021.0,36.0,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",4.0,"$1,266.00","$2,320.00","$4,216.00","$5,064.00","$9,280.00"
261731.0,12/12/2021,12.0,December,2021.0,37.0,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",4.0,$420.00,$769.00,"$1,396.00","$1,680.00","$3,076.00"
261732.0,12/12/2021,12.0,December,2021.0,34.0,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2.0,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
261733.0,12/12/2021,12.0,December,2021.0,35.0,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261734.0,12/12/2021,12.0,December,2021.0,38.0,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261735.0,12/13/2021,13.0,December,2021.0,32.0,Young Adults (25-34),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",3.0,"$1,266.00","$2,320.00","$3,162.00","$3,798.00","$6,960.00"
261736.0,12/13/2021,13.0,December,2021.0,40.0,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Silver, 40",1.0,$308.00,$565.00,$257.00,$308.00,$565.00
261737.0,12/13/2021,13.0,December,2021.0,44.0,Adults (35-64),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1.0,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261738.0,12/13/2021,13.0,December,2021.0,49.0,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1.0,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261739.0,12/14/2021,14.0,December,2021.0,30.0,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",2.0,"$1,266.00","$2,320.00","$2,108.00","$2,532.00","$4,640.00"
261740.0,12/14/2021,14.0,December,2021.0,32.0,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1.0,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261741.0,12/14/2021,14.0,December,2021.0,32.0,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1.0,$420.00,$769.00,$349.00,$420.00,$769.00
261742.0,12/15/2021,15.0,December,2021.0,29.0,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261743.0,12/16/2021,16.0,December,2021.0,33.0,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2.0,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
261744.0,12/16/2021,16.0,December,2021.0,38.0,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",2.0,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
261745.0,12/16/2021,16.0,December,2021.0,27.0,Young Adults (25-34),F,France,Seine et Marne,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261746.0,12/17/2021,17.0,December,2021.0,37.0,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",2.0,"$1,266.00","$2,320.00","$2,108.00","$2,532.00","$4,640.00"
261747.0,12/17/2021,17.0,December,2021.0,31.0,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",1.0,$420.00,$769.00,$349.00,$420.00,$769.00
261748.0,12/17/2021,17.0,December,2021.0,42.0,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261749.0,12/18/2021,18.0,December,2021.0,35.0,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",4.0,$308.00,$565.00,"$1,028.00","$1,232.00","$2,260.00"
261750.0,12/18/2021,18.0,December,2021.0,38.0,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",4.0,"$1,266.00","$2,320.00","$4,216.00","$5,064.00","$9,280.00"
261751.0,12/18/2021,18.0,December,2021.0,24.0,Youth (<25),F,France,Seine Saint Denis,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",3.0,"$1,266.00","$2,320.00","$3,162.00","$3,798.00","$6,960.00"
261752.0,12/18/2021,18.0,December,2021.0,26.0,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",3.0,$420.00,$769.00,"$1,047.00","$1,260.00","$2,307.00"
261753.0,12/18/2021,18.0,December,2021.0,39.0,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",3.0,"$1,252.00","$2,295.00","$3,129.00","$3,756.00","$6,885.00"
261754.0,12/18/2021,18.0,December,2021.0,26.0,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 46",1.0,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261755.0,12/18/2021,18.0,December,2021.0,36.0,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261756.0,12/19/2021,19.0,December,2021.0,17.0,Youth (<25),M,France,Nord,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",4.0,"$1,266.00","$2,320.00","$4,216.00","$5,064.00","$9,280.00"
261757.0,12/19/2021,19.0,December,2021.0,19.0,Youth (<25),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-500 Black, 44",4.0,$295.00,$540.00,$980.00,"$1,180.00","$2,160.00"
261758.0,12/19/2021,19.0,December,2021.0,25.0,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 38",4.0,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261759.0,12/19/2021,19.0,December,2021.0,35.0,Adults (35-64),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-100 Black, 48",4.0,"$1,898.00","$3,375.00","$5,908.00","$7,592.00","$13,500.00"
261760.0,12/19/2021,19.0,December,2021.0,37.0,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 38",4.0,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261761.0,12/19/2021,19.0,December,2021.0,39.0,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4.0,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261762.0,12/19/2021,19.0,December,2021.0,63.0,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4.0,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261763.0,12/19/2021,19.0,December,2021.0,18.0,Youth (<25),M,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-500 Black, 40",2.0,$295.00,$540.00,$490.00,$590.00,"$1,080.00"
261764.0,12/19/2021,19.0,December,2021.0,56.0,Adults (35-64),F,Germany,Hessen,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2.0,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00"
261765.0,12/19/2021,19.0,December,2021.0,39.0,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261766.0,12/20/2021,20.0,December,2021.0,33.0,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 38",4.0,"$1,898.00","$3,375.00","$5,908.00","$7,592.00","$13,500.00"
261767.0,12/20/2021,20.0,December,2021.0,57.0,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 46",4.0,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261768.0,12/20/2021,20.0,December,2021.0,29.0,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-500 Black, 52",3.0,$295.00,$540.00,$735.00,$885.00,"$1,620.00"
261769.0,12/20/2021,20.0,December,2021.0,35.0,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261770.0,12/20/2021,20.0,December,2021.0,35.0,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261771.0,12/21/2021,21.0,December,2021.0,26.0,Young Adults (25-34),M,France,Somme,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",3.0,"$1,266.00","$2,320.00","$3,162.00","$3,798.00","$6,960.00"
261772.0,12/21/2021,21.0,December,2021.0,23.0,Youth (<25),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",2.0,$420.00,$769.00,$698.00,$840.00,"$1,538.00"
261773.0,12/22/2021,22.0,December,2021.0,30.0,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",3.0,"$1,266.00","$2,320.00","$3,162.00","$3,798.00","$6,960.00"
261774.0,12/22/2021,22.0,December,2021.0,41.0,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",3.0,"$1,252.00","$2,295.00","$3,129.00","$3,756.00","$6,885.00"
261775.0,12/22/2021,22.0,December,2021.0,19.0,Youth (<25),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",1.0,$308.00,$565.00,$257.00,$308.00,$565.00
261776.0,12/22/2021,22.0,December,2021.0,25.0,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 38",1.0,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261777.0,12/22/2021,22.0,December,2021.0,27.0,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1.0,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261778.0,12/22/2021,22.0,December,2021.0,41.0,Adults (35-64),M,Germany,Hessen,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261779.0,12/23/2021,23.0,December,2021.0,30.0,Young Adults (25-34),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1.0,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00"
261780.0,12/23/2021,23.0,December,2021.0,31.0,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1.0,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00"
261781.0,12/23/2021,23.0,December,2021.0,35.0,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 42",1.0,$295.00,$540.00,$245.00,$295.00,$540.00
261782.0,12/24/2021,24.0,December,2021.0,38.0,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 42",4.0,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
261782.0,12/24/2021,24.0,December,2021.0,38.0,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 42",4.0,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00"
